Category,License,Dependency,Notes
BSD,"BSD 3-Clause ""New"" or ""Revised"" License (https://spdx.org/licenses/BSD-3-Clause)",org.scala-stm # scala-stm_2.13 # 0.11.1,
BSD,BSD License (https://opensource.org/licenses/BSD-3-Clause),com.weblookandfeel # svg-salamander # 1.1.2.2,
BSD,BSD License (http://prefuse.org/license-prefuse.txt),de.sciss # prefuse-core # 1.0.1,
BSD,BSD style (http://x-stream.github.io/license.html),com.thoughtworks.xstream # xstream # 1.4.9,
BSD,BSD-style (https://raw.github.com/Sciss/IntensityPalette/main/LICENSE),de.sciss # intensitypalette # 1.0.2,
BSD,Modified BSD License (http://fifesoft.com/rsyntaxtextarea/RSyntaxTextArea.License.txt),com.fifesoft # rsyntaxtextarea # 2.6.1,
BSD,The BSD 3-Clause License (http://opensource.org/licenses/BSD-3-Clause),com.mortennobel # java-image-scaling # 0.8.6,
BSD,The BSD License (http://www.opensource.org/licenses/bsd-license.php),jline # jline # 2.14.6,
BSD,The BSD License (https://opensource.org/licenses/BSD-3-Clause),org.jline # jline # 3.19.0,
CC0,CC0 (http://creativecommons.org/publicdomain/zero/1.0/),org.reactivestreams # reactive-streams # 1.0.3,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # asyncfile_2.13 # 0.1.4,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # audiofile_2.13 # 2.3.3,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # fscape-core_2.13 # 3.7.0,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # fscape-lucre_2.13 # 3.7.0,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # fscape-views_2.13 # 3.7.0,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-adjunct_2.13 # 4.4.5,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-base_2.13 # 4.4.5,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-bdb_2.13 # 4.4.5,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-confluent_2.13 # 4.4.5,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-core_2.13 # 4.4.5,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-data_2.13 # 4.4.5,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-expr0_2.13 # 4.4.5,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-expr1_2.13 # 4.4.5,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-expr_2.13 # 4.4.5,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-geom_2.13 # 4.4.5,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-pi_2.13 # 1.5.0,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-swing_2.13 # 2.6.3,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # lucre-synth_2.13 # 4.8.0,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # negatum-core_2.13 # 1.6.0,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # negatum-views_2.13 # 1.6.0,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # patterns-core_2.13 # 1.5.0,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # patterns-lucre_2.13 # 1.5.0,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # pdflitz_2.13 # 1.5.0,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # scalacollider-dot_2.13 # 1.6.4,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # scalacollider-if_2.13 # 1.7.6,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # scalacollider_2.13 # 2.6.4,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # scalacolliderswing-core_2.13 # 2.6.4,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # scalafreesound-compression_2.13 # 2.6.0,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # scalafreesound-core_2.13 # 2.6.0,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # scalafreesound-lucre_2.13 # 2.6.0,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # scalafreesound-swing_2.13 # 2.6.0,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # scalafreesound-views_2.13 # 2.6.0,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # scissdsp_2.13 # 2.2.2,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # sonogramoverview_2.13 # 2.2.1,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # soundprocesses-compiler_2.13 # 4.8.0,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # soundprocesses-core_2.13 # 4.8.0,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # soundprocesses-views_2.13 # 4.8.0,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # wolkenpumpe-basic_2.13 # 3.5.0,
GPL,AGPL v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # wolkenpumpe-core_2.13 # 3.5.0,
GPL,CDDL/GPLv2+CE (https://github.com/javaee/activation/blob/master/LICENSE.txt),com.sun.activation # javax.activation # 1.2.0,
GPL,GNU Affero General Public License v3 (http://www.fsf.org/licensing/licenses/agpl-3.0.html),com.itextpdf # itextpdf # 5.5.13.2,
GPL,GNU Affero General Public License v3+ (http://www.gnu.org/licenses/agpl-3.0.txt),de.sciss # mellite-core_2.13 # 3.6.0,
GPL,GPL v3+ (http://www.gnu.org/licenses/gpl-3.0.txt),com.weblookandfeel # weblaf-core # 1.2.11,
GPL,GPL v3+ (http://www.gnu.org/licenses/gpl-3.0.txt),com.weblookandfeel # weblaf-ui # 1.2.11,
GPL,GPL v3+ (http://www.gnu.org/licenses/gpl-3.0.txt),de.sciss # submin # 0.3.4,
LGPL,GNU General Lesser Public License (LGPL) version 3.0 (http://www.gnu.org/licenses/lgpl.txt),com.pi4j # pi4j-core # 1.3,
LGPL,GNU Lesser General Public License (http://www.gnu.org/copyleft/lesser.html),org.jcraft # jorbis # 0.0.17,
LGPL,GNU Lesser General Public License (LGPL) (http://www.gnu.org/licenses/lgpl.txt),net.htmlparser.jericho # jericho-html # 3.3,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # audiowidgets-app_2.13 # 2.3.2,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # audiowidgets-core_2.13 # 2.3.2,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # audiowidgets-swing_2.13 # 2.3.2,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # desktop-core_2.13 # 0.11.3,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # desktop-linux_2.13 # 0.11.3,
LGPL,LGPL v2.1+ (http://www.gnu.org/licenses/lgpl-2.1.txt),de.sciss # desktop-mac_2.13 # 0.11.3,
